Time  (s),Displacement  (m),Velocity (m/s),Acceleration  (m/s²),Car Mass  (kg),Momentum  (kg•m/s),Force (N),Potential Energy  (J),Kinetic Energy  (J),Sample ID
0.8788,0.6958,1.4045,-1.1287,0.6,0.8427,-0.6772,1.0842,0.5918,
0.8991,0.7241,1.374,-1.7871,0.6,0.8244,-1.0723,1.1627,0.5663,
0.9186,0.7505,1.3336,-2.0881,0.6,0.8002,-1.2529,1.2438,0.5336,
0.9387,0.7769,1.2913,-1.9657,0.6,0.7748,-1.1794,1.3273,0.5003,
0.9595,0.8033,1.2533,-1.9236,0.6,0.752,-1.1541,1.4071,0.4712,
0.9793,0.8278,1.2133,-2.1824,0.6,0.728,-1.3095,1.4891,0.4417,
0.9999,0.8523,1.165,-2.4261,0.6,0.699,-1.4557,1.5665,0.4072,
1.0198,0.875,1.1151,-2.7801,0.6,0.6691,-1.6681,1.6391,0.373,
1.0388,0.8957,1.0571,-3.0707,0.6,0.6342,-1.8424,1.713,0.3352,
1.0591,0.9165,0.9944,-2.9751,0.6,0.5966,-1.7851,1.7816,0.2966,
1.0786,0.9353,0.9386,-2.9718,0.6,0.5631,-1.7831,1.8513,0.2643,
1.0993,0.9542,0.8748,-3.2564,0.6,0.5249,-1.9538,1.915,0.2296,
1.1195,0.9711,0.8055,-3.3436,0.6,0.4833,-2.0061,1.9724,0.1946,
1.139,0.9862,0.742,-3.4642,0.6,0.4452,-2.0785,2.0232,0.1652,
1.1576,0.9994,0.6737,-3.6524,0.6,0.4042,-2.1915,2.0746,0.1362,
1.1783,1.0126,0.5985,-3.7991,0.6,0.3591,-2.2795,2.1191,0.1075,
1.1985,1.0239,0.5184,-4.0782,0.6,0.311,-2.4469,2.1565,0.0806,
1.2184,1.0334,0.435,-4.1531,0.6,0.261,-2.4918,2.1866,0.0568,
1.2375,1.0409,0.3564,-4.198,0.6,0.2139,-2.5188,2.2093,0.0381,
1.2553,1.0466,0.2802,-5.0008,0.6,0.1681,-3.0005,2.2245,0.0236,
1.2707,1.0503,0.1921,-5.6142,0.6,0.1153,-3.3685,2.2397,0.0111,
1.2971,1.0541,0.0467,-4.5477,0.6,0.028,-2.7286,2.2321,0.0007,
1.3347,1.0522,-0.0882,-4.2111,0.6,-0.0529,-2.5267,2.2245,0.0023,
1.3498,1.0503,-0.1612,-4.0014,0.6,-0.0967,-2.4009,2.2017,0.0078,
1.3783,1.0447,-0.2515,-4.0089,0.6,-0.1509,-2.4054,2.1791,0.019,
1.3969,1.039,-0.3417,-4.2514,0.6,-0.205,-2.5508,2.149,0.035,
1.4168,1.0315,-0.4144,-3.9156,0.6,-0.2486,-2.3493,2.1117,0.0515,
1.4376,1.0221,-0.5013,-4.0455,0.6,-0.3008,-2.4273,2.0673,0.0754,
1.4583,1.0107,-0.5823,-3.6309,0.6,-0.3494,-2.1786,2.0159,0.1017,
1.4798,0.9975,-0.6543,-3.4165,0.6,-0.3926,-2.0499,1.9652,0.1285,
1.4988,0.9843,-0.7205,-3.3167,0.6,-0.4323,-1.99,1.9078,0.1557,
1.5189,0.9693,-0.7838,-3.0891,0.6,-0.4703,-1.8535,1.8442,0.1843,
1.5396,0.9523,-0.8465,-2.9171,0.6,-0.5079,-1.7502,1.7816,0.215,
1.5591,0.9353,-0.9012,-2.9248,0.6,-0.5407,-1.7549,1.713,0.2437,
1.5793,0.9165,-0.9627,-3.1065,0.6,-0.5776,-1.8639,1.6457,0.278,
1.5983,0.8976,-1.0229,-2.8842,0.6,-0.6138,-1.7305,1.5665,0.3139,
1.6198,0.875,-1.0788,-2.6165,0.6,-0.6473,-1.5699,1.4954,0.3491,
1.6386,0.8542,-1.1283,-2.2179,0.6,-0.677,-1.3307,1.4134,0.3819,
1.6599,0.8297,-1.1667,-2.1265,0.6,-0.7,-1.2759,1.3395,0.4084,
1.679,0.8071,-1.2135,-2.4713,0.6,-0.7281,-1.4828,1.2615,0.4417,
1.6987,0.7826,-1.2626,-2.3336,0.6,-0.7576,-1.4001,1.1799,0.4783,
1.7193,0.7562,-1.3074,-2.1682,0.6,-0.7845,-1.3009,1.1008,0.5128,
1.7391,0.7298,-1.3502,-1.5856,0.6,-0.8101,-0.9514,1.0189,0.5469,
1.7598,0.7015,-1.3711,-0.8538,0.6,-0.8226,-0.5123,0.9451,0.564,
1.779,0.6751,-1.3845,-0.6692,0.6,-0.8307,-0.4015,0.869,0.5751,
1.7993,0.6468,-1.3975,-0.9365,0.6,-0.8385,-0.5619,0.7959,0.5859,
1.8195,0.6185,-1.4224,-1.2056,0.6,-0.8535,-0.7234,0.7258,0.607,
1.8391,0.5902,-1.4455,-0.3874,0.6,-0.8673,-0.2324,0.6545,0.6268,
1.8599,0.5601,-1.4371,0.9181,0.6,-0.8622,0.5509,0.595,0.6196,
1.8784,0.5337,-1.4106,0.6645,0.6,-0.8463,0.3987,0.5343,0.5969,
1.8987,0.5054,-1.4127,-0.3835,0.6,-0.8476,-0.2301,0.473,0.5987,
1.9198,0.4752,-1.4267,0.1934,0.6,-0.856,0.116,0.4188,0.6106,
1.9397,0.4469,-1.4058,1.9541,0.6,-0.8435,1.1724,0.3712,0.5929,
1.9587,0.4205,-1.3515,2.8493,0.6,-0.8109,1.7096,0.3263,0.5479,
1.9788,0.3941,-1.2944,1.6547,0.6,-0.7766,0.9928,0.2843,0.5026,
1.9995,0.3677,-1.2847,0.1436,0.6,-0.7708,0.0862,0.2452,0.4952,
2.0199,0.3413,-1.2884,1.0507,0.6,-0.7731,0.6304,0.2114,0.498,
2.039,0.3168,-1.2448,2.8803,0.6,-0.7469,1.7282,0.18,0.4649,
2.0593,0.2923,-1.1742,3.2995,0.6,-0.7045,1.9797,0.1533,0.4136,
2.0791,0.2697,-1.1124,2.6726,0.6,-0.6674,1.6036,0.1307,0.3712,
2.0983,0.2489,-1.0697,1.897,0.6,-0.6418,1.1382,0.1081,0.3433,
2.1197,0.2263,-1.0361,1.9168,0.6,-0.6217,1.1501,0.0908,0.3221,
2.1383,0.2074,-0.994,2.1552,0.6,-0.5964,1.2931,0.0736,0.2964,
2.1596,0.1867,-0.9504,2.6246,0.6,-0.5702,1.5747,0.0608,0.271,
2.1779,0.1697,-0.8918,3.3579,0.6,-0.5351,2.0147,0.0481,0.2386,
2.1999,0.1509,-0.8145,3.3645,0.6,-0.4887,2.0187,0.039,0.199,
2.2194,0.1358,-0.7518,3.4944,0.6,-0.4511,2.0967,0.0318,0.1696,
2.2375,0.1226,-0.6835,3.8022,0.6,-0.4101,2.2813,0.0253,0.1401,
2.2582,0.1094,-0.6042,3.4129,0.6,-0.3625,2.0478,0.0203,0.1095,
2.278,0.0981,-0.5449,3.3472,0.6,-0.3269,2.0083,0.0166,0.0891,
2.2963,0.0886,-0.4772,3.6645,0.6,-0.2863,2.1987,0.0133,0.0683,
2.3179,0.0792,-0.3988,3.5225,0.6,-0.2393,2.1135,0.0109,0.0477,
2.3386,0.0717,-0.3281,3.5634,0.6,-0.1968,2.138,0.0092,0.0323,
2.358,0.066,-0.2561,3.7838,0.6,-0.1537,2.2703,0.0082,0.0197,
2.3754,0.0622,-0.189,4.4618,0.6,-0.1134,2.6771,0.0077,0.0107,
2.3873,0.0603,-0.1287,5.4222,0.6,-0.0772,3.2533,0.0072,0.005,
2.4057,0.0585,-0.0224,4.3312,0.6,-0.0135,2.5987,0.0077,0.0002,
2.4397,0.0603,0.0757,2.6654,0.6,0.0454,1.5993,0.0082,0.0017,
2.459,0.0622,0.1229,3.498,0.6,0.0737,2.0988,0.0087,0.0045,
2.4719,0.0641,0.1816,3.5593,0.6,0.109,2.1356,0.0103,0.0099,
2.4983,0.0698,0.2494,3.0846,0.6,0.1496,1.8508,0.012,0.0187,
2.5181,0.0754,0.3207,3.3241,0.6,0.1924,1.9945,0.0146,0.0308,
2.5393,0.083,0.3853,3.1857,0.6,0.2312,1.9114,0.0173,0.0445,
2.5575,0.0905,0.4458,3.2667,0.6,0.2675,1.96,0.0211,0.0596,
2.5771,0.0999,0.5087,3.0362,0.6,0.3052,1.8217,0.0262,0.0776,
2.5983,0.1113,0.5694,3.0885,0.6,0.3416,1.8531,0.0318,0.0973,
2.6171,0.1226,0.6317,2.931,0.6,0.379,1.7586,0.04,0.1197,
2.6399,0.1377,0.6898,2.6736,0.6,0.4139,1.6041,0.0481,0.1428,
2.6583,0.1509,0.7413,2.828,0.6,0.4448,1.6968,0.0582,0.1649,
2.6779,0.1659,0.7973,2.9164,0.6,0.4784,1.7498,0.0707,0.1907,
2.6984,0.1829,0.8583,2.5348,0.6,0.515,1.5209,0.086,0.221,
2.7197,0.2018,0.9029,2.1964,0.6,0.5417,1.3178,0.101,0.2446,
2.7381,0.2187,0.9452,2.2289,0.6,0.5671,1.3373,0.121,0.268,
2.7595,0.2395,0.9914,2.2058,0.6,0.5948,1.3235,0.1408,0.2948,
2.7781,0.2583,1.0333,2.1077,0.6,0.62,1.2646,0.1664,0.3203,
2.7996,0.281,1.0755,1.9629,0.6,0.6453,1.1777,0.1918,0.347,
2.8185,0.3017,1.1126,1.7965,0.6,0.6676,1.0779,0.2215,0.3714,
2.8385,0.3243,1.1452,1.2985,0.6,0.6871,0.7791,0.2561,0.3934,
2.8597,0.3489,1.1657,0.6363,0.6,0.6994,0.3818,0.2902,0.4076,
2.879,0.3715,1.1716,0.5261,0.6,0.703,0.3156,0.3294,0.4118,
2.8999,0.396,1.1872,0.9131,0.6,0.7123,0.5479,0.3679,0.4228,
2.9187,0.4186,1.2075,0.733,0.6,0.7245,0.4398,0.4119,0.4374,
2.9389,0.4431,1.2153,0.047,0.6,0.7292,0.0282,0.4582,0.4431,
2.9591,0.4677,1.2094,-0.4941,0.6,0.7256,-0.2964,0.507,0.4388,
2.9795,0.4922,1.1952,-0.577,0.6,0.7171,-0.3462,0.5542,0.4286,
2.9985,0.5148,1.1865,-0.299,0.6,0.7119,-0.1794,0.6075,0.4224,
3.0192,0.5393,1.1836,-0.3068,0.6,0.7101,-0.1841,0.6632,0.4203,
3.0399,0.5638,1.1738,-0.7008,0.6,0.7043,-0.4205,0.7167,0.4134,
3.0594,0.5865,1.1557,-1.1088,0.6,0.6934,-0.6653,0.7722,0.4007,
3.0791,0.6091,1.1303,-1.2925,0.6,0.6782,-0.7755,0.8296,0.3832,
3.0994,0.6317,1.104,-1.3346,0.6,0.6624,-0.8008,0.884,0.3657,
3.1184,0.6525,1.0779,-1.3887,0.6,0.6467,-0.8332,0.9451,0.3486,
3.1397,0.6751,1.048,-1.3969,0.6,0.6288,-0.8381,1.0029,0.3295,
3.1597,0.6958,1.0202,-1.703,0.6,0.6121,-1.0218,1.0568,0.3122,
3.1785,0.7147,0.9823,-1.957,0.6,0.5894,-1.1742,1.1119,0.2894,
3.1981,0.7335,0.9451,-1.9342,0.6,0.5671,-1.1605,1.1684,0.268,
3.2184,0.7524,0.9051,-2.2294,0.6,0.543,-1.3376,1.2262,0.2457,
3.2399,0.7713,0.8516,-2.6068,0.6,0.511,-1.5641,1.2733,0.2176,
3.2581,0.7863,0.802,-2.2136,0.6,0.4812,-1.3281,1.3273,0.193,
3.2799,0.8033,0.7649,-2.2657,0.6,0.4589,-1.3594,1.3701,0.1755,
3.2975,0.8165,0.7151,-2.7121,0.6,0.4291,-1.6272,1.4196,0.1534,
3.3197,0.8316,0.6575,-2.6681,0.6,0.3945,-1.6009,1.4573,0.1297,
3.3375,0.8429,0.6087,-2.8734,0.6,0.3652,-1.724,1.4954,0.1111,
3.3569,0.8542,0.5504,-2.8145,0.6,0.3302,-1.6887,1.534,0.0909,
3.3787,0.8655,0.4932,-2.7824,0.6,0.2959,-1.6694,1.5665,0.073,
3.399,0.875,0.4335,-3.0157,0.6,0.2601,-1.8094,1.5927,0.0564,
3.4178,0.8825,0.3754,-3.4032,0.6,0.2252,-2.0419,1.6125,0.0423,
3.434,0.8882,0.3152,-3.4028,0.6,0.1891,-2.0417,1.6324,0.0298,
3.4541,0.8938,0.2531,-3.3741,0.6,0.1518,-2.0245,1.6457,0.0192,
3.4708,0.8976,0.192,-3.3602,0.6,0.1152,-2.0161,1.6591,0.0111,
3.4951,0.9014,0.1176,-4.0703,0.6,0.0706,-2.4422,1.6658,0.0041,
3.5192,0.9033,-0.0048,-4.5836,0.6,-0.0029,-2.7502,1.6591,0,
3.5407,0.9014,-0.0927,-2.7164,0.6,-0.0556,-1.6298,1.6457,0.0026,
3.5799,0.8976,-0.1454,-2.5395,0.6,-0.0872,-1.5237,1.6324,0.0063,
3.5995,0.8938,-0.2186,-3.8673,0.6,-0.1312,-2.3204,1.6191,0.0143,
3.6147,0.8901,-0.2794,-3.3651,0.6,-0.1676,-2.0191,1.5927,0.0234,
3.6388,0.8825,-0.3452,-2.8826,0.6,-0.2071,-1.7296,1.5665,0.0357,
3.6588,0.875,-0.4059,-3.098,0.6,-0.2435,-1.8588,1.5405,0.0494,
3.6762,0.8674,-0.4609,-2.7242,0.6,-0.2765,-1.6345,1.5018,0.0637,
3.6995,0.8561,-0.5142,-2.7276,0.6,-0.3085,-1.6366,1.47,0.0793,
3.7168,0.8467,-0.569,-2.7505,0.6,-0.3414,-1.6503,1.4259,0.0971,
3.739,0.8335,-0.6208,-2.2623,0.6,-0.3725,-1.3574,1.3824,0.1156,
3.7594,0.8203,-0.6655,-2.3028,0.6,-0.3993,-1.3817,1.3395,0.1329,
3.7787,0.8071,-0.7121,-2.3641,0.6,-0.4272,-1.4185,1.2912,0.1521,
3.7991,0.792,-0.7593,-2.2522,0.6,-0.4556,-1.3513,1.2438,0.1729,
3.8185,0.7769,-0.8018,-2.0614,0.6,-0.4811,-1.2368,1.1914,0.1929,
3.8391,0.7599,-0.8416,-1.9686,0.6,-0.5049,-1.1811,1.14,0.2125,
3.8588,0.743,-0.8811,-1.8734,0.6,-0.5287,-1.124,1.0842,0.2329,
3.8797,0.7241,-0.9175,-1.6134,0.6,-0.5505,-0.968,1.0297,0.2525,
3.8999,0.7053,-0.9475,-1.4262,0.6,-0.5685,-0.8557,0.9764,0.2693,
3.9195,0.6864,-0.9743,-1.4727,0.6,-0.5846,-0.8836,0.9245,0.2848,
3.9387,0.6675,-1.0046,-1.4797,0.6,-0.6027,-0.8878,0.869,0.3027,
3.9589,0.6468,-1.0325,-1.3966,0.6,-0.6195,-0.838,0.8151,0.3198,
3.9788,0.6261,-1.0606,-1.3608,0.6,-0.6363,-0.8165,0.7581,0.3374,
3.9998,0.6034,-1.0881,-0.9378,0.6,-0.6529,-0.5627,0.7077,0.3552,
4.0187,0.5827,-1.0988,-0.7001,0.6,-0.6593,-0.4201,0.6545,0.3622,
4.0392,0.5601,-1.1159,-0.6907,0.6,-0.6695,-0.4144,0.6033,0.3736,
4.0593,0.5374,-1.1269,-0.4229,0.6,-0.6761,-0.2537,0.5542,0.3809,
4.0794,0.5148,-1.1329,-0.576,0.6,-0.6797,-0.3456,0.507,0.385,
4.0992,0.4922,-1.1498,-0.5747,0.6,-0.6899,-0.3448,0.4619,0.3966,
4.1188,0.4695,-1.1556,0.0893,0.6,-0.6934,0.0536,0.4188,0.4006,
4.1384,0.4469,-1.1463,0.7745,0.6,-0.6878,0.4647,0.3745,0.3942,
4.1599,0.4224,-1.1232,1.5238,0.6,-0.6739,0.9143,0.3389,0.3785,
4.1786,0.4017,-1.0863,1.8294,0.6,-0.6518,1.0976,0.302,0.354,
4.1999,0.379,-1.0504,1.0327,0.6,-0.6302,0.6196,0.27,0.331,
4.2199,0.3583,-1.0428,0.3213,0.6,-0.6257,0.1928,0.2398,0.3262,
4.2397,0.3375,-1.0376,1.0125,0.6,-0.6226,0.6075,0.2114,0.323,
4.2599,0.3168,-1.002,2.3346,0.6,-0.6012,1.4007,0.187,0.3012,
4.2792,0.2979,-0.9459,2.5917,0.6,-0.5676,1.555,0.1642,0.2684,
4.2998,0.2791,-0.899,2.2764,0.6,-0.5394,1.3658,0.1449,0.2425,
4.319,0.2621,-0.8553,2.1987,0.6,-0.5132,1.3192,0.1268,0.2195,
4.3396,0.2451,-0.8116,1.7389,0.6,-0.4869,1.0433,0.1117,0.1976,
4.3584,0.2301,-0.7861,1.4628,0.6,-0.4717,0.8777,0.0976,0.1854,
4.3779,0.215,-0.7555,1.8456,0.6,-0.4533,1.1074,0.0844,0.1712,
4.3984,0.1999,-0.712,2.4282,0.6,-0.4272,1.4569,0.0736,0.1521,
4.4176,0.1867,-0.6595,2.7643,0.6,-0.3957,1.6586,0.0636,0.1305,
4.4385,0.1735,-0.6011,2.8517,0.6,-0.3607,1.711,0.0556,0.1084,
4.4583,0.1622,-0.5435,3.0687,0.6,-0.3261,1.8412,0.0493,0.0886,
4.4767,0.1527,-0.4841,3.1237,0.6,-0.2905,1.8742,0.0434,0.0703,
4.4975,0.1433,-0.4213,3.0148,0.6,-0.2528,1.8089,0.039,0.0532,
4.5167,0.1358,-0.3635,2.6822,0.6,-0.2181,1.6093,0.0348,0.0396,
4.5393,0.1282,-0.3103,2.6745,0.6,-0.1862,1.6047,0.0318,0.0289,
4.559,0.1226,-0.2513,3.325,0.6,-0.1508,1.995,0.0298,0.0189,
4.5764,0.1188,-0.1877,3.3896,0.6,-0.1126,2.0337,0.0289,0.0106,
4.5885,0.1169,-0.1499,3.4417,0.6,-0.09,2.065,0.028,0.0067,
4.6018,0.115,-0.0999,4.727,0.6,-0.0599,2.8362,0.0271,0.003,
4.6352,0.1131,0.0903,6.4098,0.6,0.0542,3.8459,0.028,0.0024,
4.6432,0.115,0.1473,2.7697,0.6,0.0884,1.6618,0.0289,0.0065,
4.6765,0.1169,0.0945,1.1898,0.6,0.0567,0.7139,0.0298,0.0027,
4.6909,0.1188,0.1516,2.9398,0.6,0.0909,1.7639,0.0318,0.0069,
4.7131,0.1226,0.1941,2.2518,0.6,0.1165,1.3511,0.0348,0.0113,
4.7389,0.1282,0.2609,2.6235,0.6,0.1566,1.5741,0.0379,0.0204,
4.7576,0.1339,0.3106,2.5012,0.6,0.1864,1.5007,0.0412,0.0289,
4.7753,0.1395,0.3521,2.3417,0.6,0.2112,1.405,0.0469,0.0372,
4.7998,0.149,0.4094,2.4194,0.6,0.2456,1.4516,0.0518,0.0503,
4.8172,0.1565,0.4529,2.5025,0.6,0.2717,1.5015,0.0582,0.0615,
4.837,0.1659,0.5025,2.3688,0.6,0.3015,1.4213,0.0664,0.0757,
4.8585,0.1773,0.5505,2.2097,0.6,0.3303,1.3258,0.0751,0.0909,
4.8783,0.1886,0.5938,2.0561,0.6,0.3563,1.2336,0.086,0.1058,
4.8997,0.2018,0.635,1.9684,0.6,0.381,1.181,0.0958,0.121,
4.917,0.2131,0.6698,1.8717,0.6,0.4019,1.123,0.1099,0.1346,
4.939,0.2282,0.7079,1.82,0.6,0.4247,1.092,0.1248,0.1503,
4.9597,0.2433,0.7474,1.949,0.6,0.4484,1.1694,0.1408,0.1676,
4.9793,0.2583,0.7864,1.904,0.6,0.4718,1.1424,0.1576,0.1855,
4.998,0.2734,0.8204,1.6983,0.6,0.4922,1.019,0.1777,0.2019,
5.0184,0.2904,0.8526,1.5815,0.6,0.5115,0.9489,0.199,0.2181,
5.0379,0.3074,0.8835,1.4971,0.6,0.5301,0.8982,0.2241,0.2342,
5.0589,0.3262,0.9131,1.1998,0.6,0.5479,0.7199,0.2506,0.2501,
5.0792,0.3451,0.9332,0.7264,0.6,0.5599,0.4359,0.2786,0.2612,
5.0993,0.3639,0.9425,0.5354,0.6,0.5655,0.3212,0.308,0.2665,
5.1192,0.3828,0.9546,0.2989,0.6,0.5727,0.1794,0.3389,0.2734,
5.1389,0.4017,0.9544,0.1843,0.6,0.5727,0.1106,0.3712,0.2733,
5.1587,0.4205,0.9619,0.4188,0.6,0.5771,0.2513,0.4049,0.2776,
5.1781,0.4394,0.9708,0.0541,0.6,0.5825,0.0325,0.4437,0.2827,
5.1995,0.4601,0.9633,-0.4595,0.6,0.578,-0.2757,0.4805,0.2784,
5.2192,0.479,0.9521,-0.641,0.6,0.5712,-0.3846,0.5186,0.2719,
5.2391,0.4978,0.9379,-0.6129,0.6,0.5627,-0.3678,0.5582,0.2639,
5.2594,0.5167,0.9275,-0.7426,0.6,0.5565,-0.4455,0.595,0.2581,
5.2778,0.5337,0.9096,-0.9459,0.6,0.5457,-0.5676,0.6372,0.2482,
5.2988,0.5525,0.8903,-0.8345,0.6,0.5342,-0.5007,0.6764,0.2378,
5.318,0.5695,0.8759,-0.8312,0.6,0.5255,-0.4987,0.7213,0.2302,
5.3397,0.5883,0.8561,-1.0259,0.6,0.5136,-0.6155,0.7628,0.2199,
5.3598,0.6053,0.8332,-1.4311,0.6,0.4999,-0.8586,0.8007,0.2083,
5.3782,0.6204,0.8015,-1.7112,0.6,0.4809,-1.0267,0.8394,0.1927,
5.3975,0.6355,0.7687,-1.6422,0.6,0.4612,-0.9853,0.879,0.1773,
5.4175,0.6506,0.737,-1.7615,0.6,0.4422,-1.0569,0.9194,0.163,
5.4385,0.6657,0.6963,-1.8466,0.6,0.4178,-1.108,0.9555,0.1454,
5.4581,0.6789,0.6619,-1.651,0.6,0.3971,-0.9906,0.9923,0.1314,
5.4784,0.6921,0.6305,-1.8085,0.6,0.3783,-1.0851,1.0243,0.1193,
5.4969,0.7034,0.5922,-2.1164,0.6,0.3553,-1.2698,1.0568,0.1052,
5.5166,0.7147,0.5496,-2.0882,0.6,0.3298,-1.2529,1.0897,0.0906,
5.5381,0.726,0.5063,-2.0899,0.6,0.3038,-1.2539,1.1175,0.0769,
5.5574,0.7354,0.4645,-2.2759,0.6,0.2787,-1.3656,1.1457,0.0647,
5.5789,0.7449,0.4132,-2.5058,0.6,0.2479,-1.5035,1.1684,0.0512,
5.5984,0.7524,0.362,-2.5807,0.6,0.2172,-1.5484,1.1856,0.0393,
5.6152,0.7581,0.3194,-2.5753,0.6,0.1916,-1.5452,1.2029,0.0306,
5.6339,0.7637,0.2705,-2.549,0.6,0.1623,-1.5294,1.2204,0.022,
5.6575,0.7694,0.2119,-2.2982,0.6,0.1271,-1.3789,1.232,0.0135,
5.6778,0.7731,0.169,-2.7411,0.6,0.1014,-1.6446,1.2379,0.0086,
5.69,0.775,0.1279,-4.1239,0.6,0.0767,-2.4743,1.2438,0.0049,
5.709,0.7769,0.0352,-3.2015,0.6,0.0211,-1.9209,1.2379,0.0004,
5.7733,0.775,-0.0628,-2.3252,0.6,-0.0377,-1.3951,1.232,0.0012,
5.7931,0.7731,-0.1247,-2.7229,0.6,-0.0748,-1.6337,1.2204,0.0047,
5.8172,0.7694,-0.1806,-2.586,0.6,-0.1084,-1.5516,1.2087,0.0098,
5.8355,0.7656,-0.2328,-2.4104,0.6,-0.1397,-1.4462,1.1914,0.0163,
5.8576,0.7599,-0.2763,-2.221,0.6,-0.1658,-1.3326,1.1741,0.0229,
5.8766,0.7543,-0.3233,-2.3456,0.6,-0.194,-1.4074,1.1513,0.0314,
5.8982,0.7467,-0.3712,-2.1427,0.6,-0.2227,-1.2856,1.1288,0.0413,
5.9174,0.7392,-0.4109,-2.0843,0.6,-0.2465,-1.2506,1.1008,0.0507,
5.9392,0.7298,-0.4567,-2.0631,0.6,-0.274,-1.2379,1.0732,0.0626,
5.9589,0.7203,-0.4966,-1.8768,0.6,-0.2979,-1.1261,1.0459,0.074,
5.9773,0.7109,-0.5284,-1.7289,0.6,-0.317,-1.0373,1.0136,0.0838,
5.998,0.6996,-0.5642,-1.6689,0.6,-0.3385,-1.0013,0.9817,0.0955,
6.0174,0.6883,-0.5954,-1.659,0.6,-0.3572,-0.9954,0.9451,0.1063,
6.0391,0.6751,-0.6325,-1.5812,0.6,-0.3795,-0.9487,0.9092,0.12,
6.0592,0.6619,-0.6617,-1.3476,0.6,-0.397,-0.8085,0.874,0.1314,
6.079,0.6487,-0.6863,-1.4127,0.6,-0.4118,-0.8476,0.8394,0.1413,
6.0977,0.6355,-0.7159,-1.3828,0.6,-0.4296,-0.8297,0.8007,0.1538,
6.1185,0.6204,-0.7405,-1.2463,0.6,-0.4443,-0.7478,0.7628,0.1645,
6.1385,0.6053,-0.7667,-1.1988,0.6,-0.46,-0.7193,0.7258,0.1763,
6.1579,0.5902,-0.7878,-0.9896,0.6,-0.4727,-0.5937,0.6853,0.1862,
6.1791,0.5733,-0.8067,-0.8782,0.6,-0.484,-0.5269,0.6502,0.1952,
6.1976,0.5582,-0.8227,-0.6934,0.6,-0.4936,-0.416,0.6117,0.2031,
6.2181,0.5412,-0.8334,-0.6132,0.6,-0.5,-0.3679,0.5744,0.2083,
6.2384,0.5242,-0.8477,-0.6187,0.6,-0.5086,-0.3712,0.5382,0.2156,
